X,Y,PC,PQ,EA,NO,CY,RH,LH,CC,DC,WC
-1.42943994075422,50.924413219332,SO155PX,10,440199,114046,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43075159162494,50.9241948051356,SO155PY,10,440107,114021,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43004698815711,50.9248028669977,SO155PZ,10,440156,114089,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43076610986469,50.9253369399239,SO155QA,10,440105,114148,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42658746218361,50.9272858809523,SO155QB,10,440397,114367,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42887704079516,50.9250669295935,SO155QD,10,440238,114119,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4284450248419,50.9243274200898,SO155QE,10,440269,114037,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42822059405045,50.9252255844383,SO155QF,10,440284,114137,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42746874421423,50.9250420479175,SO155QG,10,440337,114117,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43441664780651,50.9246712386292,SO155QH,10,439849,114072,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43494338634109,50.9246468108289,SO155QJ,10,439812,114069,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43483082974967,50.925716388855,SO155QL,10,439819,114188,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4357731188384,50.9254511668657,SO155QN,10,439753,114158,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43604094238144,50.9256592910756,SO155QP,10,439734,114181,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43502544250071,50.926095020939,SO155QQ,10,439805,114230,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43290288013828,50.9263005551774,SO155QR,10,439954,114254,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43368650302007,50.9262144318945,SO155QS,10,439899,114244,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4277098427933,50.9239461287467,SO155QT,10,440321,113995,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.41515371120533,50.9154308317214,SO155QU,10,441211,113055,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.43476775495456,50.9250506291013,SO155QW,10,439824,114114,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43181554007629,50.9267898639997,SO155QX,10,440030,114309,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43167599942196,50.9265643692789,SO155QY,10,440040,114284,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43117879009492,50.9264989999448,SO155QZ,10,440075,114277,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43114367352336,50.9258783375668,SO155RA,10,440078,114208,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43652077450222,50.9248073078683,SO155RB,10,439701,114086,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43555418259588,50.9247306985446,SO155RD,10,439769,114078,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43689959496561,50.9252497740104,SO155RE,10,439674,114135,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.43101783454902,50.9210306958447,SO155RF,10,440091,113669,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4189762771817,50.9123294660759,SO155RG,10,440945,112708,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.43079858949248,50.9191771440498,SO155RH,10,440108,113463,E92000001,E19000002,E18000009,,E06000045,E05002463
